income,derived_consumption,year_2018,year_2019,year_2020,year_2021,year_2022,WfhCor_1,treatment_1,did_effect
886.73,15149.09091,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
530.2,35.78016425,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2122.68,48.46634685,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1008.4,59.98872657,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
757.82,277.8233899,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1628.98,39.72958453,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1420.57,13.72756072,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
763.71,64.94107281,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
865.97,111.0624891,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
738.17,42.47557003,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1626.6775,122.9402262,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1050.81,136.135307,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1279.75,61.11776307,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
68.15,78.7026273,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
590.44,115.8722261,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
958.24,117.9398309,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
809.14,264.5734508,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1532.63,74.11131257,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
712.77,33.19696084,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
391.85,612.4968882,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
785.37,23.3749291,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
472.2,66.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
334.5,32.91662919,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
846.87,84.61997782,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
749.24,175.6147964,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
503.25,114.3974444,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
886.9281538,14.0497656,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
886.64,24.89165764,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
419.75,130.6289695,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
930.822,13.80500431,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1407.44,48.95018362,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1871.2325,301.9782472,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1057.478154,60.2629891,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1089.02,58.15570673,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
602.56,53.36364632,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
820,194.7488855,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
440.52,64.61245235,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1722.54,57.18955958,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
489.782,62.720429,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
475.78,56.85743748,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
914.57,54.04509993,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
739.09,1262.742457,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
926.64,18.62040528,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1334.6,60.4481421,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
936.6412308,93.19531375,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
596.51,313.5322093,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
604.8481538,198.6934448,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
765.76,1079.049072,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
848.25,12.85990605,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1374.1,44.57264578,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1156.06,233.9910487,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
873.674,12.85505707,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
600.58,275.8206122,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
456.71,28.08709838,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
159.34,326.5893643,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
422.14,9.715353336,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
